,Frequency (Hz),Amplitude (dBm)
0,100000,-51.28
1,101000,-51.17
2,102000,-51.18
3,103000,-48.27
4,104000,-52.82
5,105000,-51.22
6,106000,-52.11
7,107000,-52.71
8,108000,-52.66
9,109000,-51.89
10,110000,-51.77
11,111000,-52.61
12,112000,-52.48
13,113000,-52.39
14,114000,-54.239999999999995
15,115000,-54.42
16,116000,-50.72
17,117000,-54.44
18,118000,-53.34
19,119000,-54.22
20,120000,-53.21
21,121000,-53.53
22,122000,-53.32
23,123000,-54.69
24,124000,-51.75
25,125000,-54.790000000000006
26,126000,-54.72
27,127000,-54.900000000000006
28,128000,-53.69
29,129000,-54.34
30,130000,-53.94
31,131000,-54.78
32,132000,-55.05
33,133000,-54.3
34,134000,-54.989999999999995
35,135000,-53.18
36,136000,-55.099999999999994
37,137000,-54.03
38,138000,-53.58
39,139000,-56.18000000000001
40,140000,-54.22
41,141000,-55.620000000000005
42,142000,-55.08
43,143000,-54.84
44,144000,-56.040000000000006
45,145000,-55.3
46,146000,-55.129999999999995
47,147000,-56.47
48,148000,-56.19
49,149000,-56.92
50,150000,-56.72
51,151000,-56.730000000000004
52,152000,-57.870000000000005
53,153000,-55.400000000000006
54,154000,-54.150000000000006
55,155000,-57.66
56,156000,-56.900000000000006
57,157000,-56.7
58,158000,-57.36
59,159000,-56.22
60,160000,-57.379999999999995
61,161000,-57.739999999999995
62,162000,-56.260000000000005
63,163000,-54.91
64,164000,-56.09
65,165000,-57.78
66,166000,-55.56
67,167000,-58.8
68,168000,-57.709999999999994
69,169000,-57.72
70,170000,-55.33
71,171000,-57.629999999999995
72,172000,-56.769999999999996
73,173000,-58.489999999999995
74,174000,-57.89
75,175000,-58.269999999999996
76,176000,-58.150000000000006
77,177000,-58.540000000000006
78,178000,-57.709999999999994
79,179000,-58.31
80,180000,-57.400000000000006
81,181000,-58.459999999999994
82,182000,-58.980000000000004
83,183000,-58.61
84,184000,-59.129999999999995
85,185000,-58.89
86,186000,-56.94
87,187000,-57.93000000000001
88,188000,-58.06
89,189000,-59.19
90,190000,-60.69
91,191000,-59.08
92,192000,-58.59
93,193000,-57.89
94,194000,-58.370000000000005
95,195000,-57.05
96,196000,-59.14
97,197000,-56.769999999999996
98,198000,-57.3
99,199000,-56.599999999999994
100,200000,-56.709999999999994
101,201000,-57.120000000000005
102,202000,-57.650000000000006
103,203000,-57.230000000000004
104,204000,-57.66
105,205000,-58.84
106,206000,-59.489999999999995
107,207000,-58.010000000000005
108,208000,-59.5
109,209000,-59.959999999999994
110,210000,-57.58
111,211000,-59.120000000000005
112,212000,-58.39
113,213000,-59.91
114,214000,-61.03
115,215000,-59.78
116,216000,-59.92
117,217000,-60.89
118,218000,-61.3
119,219000,-61.730000000000004
120,220000,-61.31
121,221000,-60.75
122,222000,-61.400000000000006
123,223000,-60.31
124,224000,-60.400000000000006
125,225000,-60.55
126,226000,-62.120000000000005
127,227000,-59.459999999999994
128,228000,-60.34
129,229000,-60.790000000000006
130,230000,-61.269999999999996
131,231000,-61.28
132,232000,-59.349999999999994
133,233000,-60.010000000000005
134,234000,-60.900000000000006
135,235000,-61.22
136,236000,-61.56
137,237000,-60.83
138,238000,-61.650000000000006
139,239000,-61.16
140,240000,-61.41
141,241000,-61.58
142,242000,-61.5
143,243000,-62.2
144,244000,-63.150000000000006
145,245000,-61.510000000000005
146,246000,-61.44
147,247000,-62.22
148,248000,-60.519999999999996
149,249000,-61.879999999999995
150,250000,-62.239999999999995
151,251000,-61.629999999999995
152,252000,-62.06
153,253000,-60.91
154,254000,-61.650000000000006
155,255000,-60.55
156,256000,-62.629999999999995
157,257000,-61.66
158,258000,-61.92
159,259000,-61.260000000000005
160,260000,-62.099999999999994
161,261000,-62.290000000000006
162,262000,-60.370000000000005
163,263000,-61.769999999999996
164,264000,-60.599999999999994
165,265000,-61.209999999999994
166,266000,-61.620000000000005
167,267000,-62.22
168,268000,-60.92
169,269000,-60.989999999999995
170,270000,-62.42
171,271000,-62.239999999999995
172,272000,-61.739999999999995
173,273000,-63.099999999999994
174,274000,-61.75
175,275000,-62.36
176,276000,-61.59
177,277000,-62.019999999999996
178,278000,-61.94
179,279000,-61.36
180,280000,-62.94
181,281000,-62.56999999999999
182,282000,-62.56999999999999
183,283000,-61.870000000000005
184,284000,-61.97
185,285000,-61.150000000000006
186,286000,-63.879999999999995
187,287000,-61.980000000000004
188,288000,-63.89
189,289000,-62.61
190,290000,-61.489999999999995
191,291000,-61.739999999999995
192,292000,-59.53
193,293000,-57.269999999999996
194,294000,-55.41
195,295000,-52.78
196,296000,-51.47
197,297000,-49.32
198,298000,-48.36
199,299000,-47.77
200,300000,-47.39
201,301000,-47.64
202,302000,-48.37
203,303000,-49.57
204,304000,-51.19
205,305000,-53.16
206,306000,-54.81
207,307000,-57.620000000000005
208,308000,-60.040000000000006
209,309000,-61.53
210,310000,-62.760000000000005
211,311000,-63.540000000000006
212,312000,-64.63
213,313000,-63.44
214,314000,-63.44
215,315000,-63.650000000000006
216,316000,-62.95
217,317000,-62.480000000000004
218,318000,-63.650000000000006
219,319000,-63.86
220,320000,-63.540000000000006
221,321000,-63.239999999999995
222,322000,-63.959999999999994
223,323000,-61.7
224,324000,-61.53
225,325000,-62.120000000000005
226,326000,-62.39
227,327000,-64.52
228,328000,-63.75
229,329000,-63.86
230,330000,-64.76
231,331000,-64.29
232,332000,-62.3
233,333000,-62.95
234,334000,-64.18
235,335000,-63.86
236,336000,-64.18
237,337000,-64.63
238,338000,-63.34
239,339000,-64.4
240,340000,-64.18
241,341000,-63.75
242,342000,-63.44
243,343000,-64.52
244,344000,-63.44
245,345000,-63.650000000000006
246,346000,-63.86
247,347000,-63.86
248,348000,-65.37
249,349000,-65.5
250,350000,-65.0
251,351000,-64.07
252,352000,-62.480000000000004
253,353000,-65.89
254,354000,-64.29
255,355000,-65.5
256,356000,-65.0
257,357000,-63.86
258,358000,-65.0
259,359000,-65.12
260,360000,-65.37
261,361000,-65.12
262,362000,-64.87
263,363000,-65.24
264,364000,-65.0
265,365000,-65.5
266,366000,-64.63
267,367000,-64.52
268,368000,-66.49
269,369000,-64.29
270,370000,-66.06
271,371000,-65.0
272,372000,-65.09
273,373000,-64.85
274,374000,-64.96
275,375000,-64.85
276,376000,-65.46
277,377000,-65.33
278,378000,-64.28
279,379000,-66.72
280,380000,-65.98
281,381000,-64.38
282,382000,-65.85
283,383000,-64.38
284,384000,-65.21
285,385000,-66.87
286,386000,-66.22
287,387000,-65.59
288,388000,-64.85
289,389000,-66.15
290,390000,-65.21
291,391000,-64.28
292,392000,-65.46
293,393000,-66.87
294,394000,-66.58
295,395000,-65.85
296,396000,-65.09
297,397000,-64.73
298,398000,-65.21
299,399000,-63.43000000000001
300,400000,-63.53
301,401000,-64.28
302,402000,-64.73
303,403000,-64.96
304,404000,-63.43000000000001
305,405000,-65.59
306,406000,-65.09
307,407000,-66.22
308,408000,-65.98
309,409000,-65.85
310,410000,-64.85
311,411000,-65.85
312,412000,-66.95
313,413000,-66.44
314,414000,-66.72
315,415000,-66.15
316,416000,-64.38
317,417000,-66.3
318,418000,-66.58
319,419000,-66.72
320,420000,-65.33
321,421000,-67.02
322,422000,-65.09
323,423000,-64.73
324,424000,-65.71
325,425000,-67.25
326,426000,-65.46
327,427000,-65.71
328,428000,-67.25
329,429000,-64.73
330,430000,-65.98
331,431000,-66.58
332,432000,-65.71
333,433000,-66.15
334,434000,-66.87
335,435000,-65.85
336,436000,-67.33
337,437000,-66.08
338,438000,-65.85
339,439000,-66.15
340,440000,-66.51
341,441000,-66.72
342,442000,-65.98
343,443000,-66.51
344,444000,-66.87
345,445000,-66.44
346,446000,-66.44
347,447000,-67.64
348,448000,-66.65
349,449000,-66.87
350,450000,-66.08
351,451000,-67.25
352,452000,-67.98
353,453000,-67.73
354,454000,-64.73
355,455000,-67.49
356,456000,-65.59
357,457000,-67.49
358,458000,-66.29
359,459000,-65.33
360,460000,-65.59
361,461000,-66.37
362,462000,-65.98
363,463000,-66.87
364,464000,-66.51
365,465000,-67.17
366,466000,-66.58
367,467000,-65.71
368,468000,-66.37
369,469000,-66.65
370,470000,-64.61
371,471000,-66.65
372,472000,-68.16
373,473000,-67.17
374,474000,-68.23
375,475000,-66.15
376,476000,-67.33
377,477000,-66.65
378,478000,-66.51
379,479000,-65.59
380,480000,-65.98
381,481000,-67.81
382,482000,-67.49
383,483000,-66.87
384,484000,-67.02
385,485000,-65.59
386,486000,-67.56
387,487000,-66.58
388,488000,-67.41
389,489000,-67.64
390,490000,-67.64
391,491000,-67.41
392,492000,-65.59
393,493000,-67.17
394,494000,-68.32
395,495000,-68.68
396,496000,-65.98
397,497000,-67.1
398,498000,-67.49
399,499000,-66.44
400,500000,-66.15
401,501000,-65.84
402,502000,-68.16
403,503000,-67.17
404,504000,-67.17
405,505000,-69.26
406,506000,-67.41
407,507000,-68.16
408,508000,-66.95
409,509000,-67.98
410,510000,-67.49
411,511000,-67.49
412,512000,-67.81
413,513000,-67.17
414,514000,-66.29
415,515000,-67.33
416,516000,-68.51
417,517000,-68.23
418,518000,-67.49
419,519000,-68.97
420,520000,-68.32
421,521000,-67.73
422,522000,-67.33
423,523000,-66.44
424,524000,-68.32
425,525000,-68.78
426,526000,-66.8
427,527000,-66.72
428,528000,-66.65
429,529000,-67.81
430,530000,-68.51
431,531000,-67.64
432,532000,-67.81
433,533000,-66.87
434,534000,-67.1
435,535000,-69.16
436,536000,-67.33
437,537000,-68.87
438,538000,-67.02
439,539000,-68.51
440,540000,-67.33
441,541000,-67.73
442,542000,-66.44
443,543000,-67.81
444,544000,-67.64
445,545000,-68.16
446,546000,-67.98
447,547000,-67.64
448,548000,-66.44
449,549000,-67.33
450,550000,-68.68
451,551000,-67.98
452,552000,-68.68
453,553000,-68.87
454,554000,-68.23
455,555000,-68.51
456,556000,-67.48
457,557000,-68.15
458,558000,-68.97
459,559000,-67.02
460,560000,-68.32
461,561000,-67.48
462,562000,-68.51
463,563000,-68.68
464,564000,-66.72
465,565000,-68.51
466,566000,-68.78
467,567000,-66.95
468,568000,-67.56
469,569000,-67.81
470,570000,-68.87
471,571000,-66.72
472,572000,-65.59
473,573000,-67.98
474,574000,-68.29
475,575000,-66.33
476,576000,-66.55
477,577000,-66.4
478,578000,-67.22
479,579000,-68.48
480,580000,-67.22
481,581000,-67.53
482,582000,-66.99
483,583000,-67.37
484,584000,-66.99
485,585000,-67.22
486,586000,-67.87
487,587000,-68.38
488,588000,-68.65
489,589000,-68.04
490,590000,-68.56
491,591000,-66.77
492,592000,-68.38
493,593000,-66.99
494,594000,-67.78
495,595000,-66.69
496,596000,-67.61
497,597000,-68.56
498,598000,-67.7
499,599000,-68.29
500,600000,-68.2
501,601000,-67.29
