Frequency (Hz),Amplitude (dBm)
5000000,-50.72
5009000,-70.35
5018000,-80.58
5027000,-81.71
5036000,-82.08
5045000,-82.63
5054000,-82.47
5063000,-82.63
5072000,-82.47
5081000,-82.31
5090000,-83.5
5099000,-83.22
5108000,-82.39
5117000,-82.47
5126000,-83.67
5135000,-82.15
5144000,-83.58
5153000,-80.32
5162000,-82.8
5171000,-82.23
5180000,-82.31
5189000,-82.47
5198000,-83.4
5207000,-81.63
5216000,-81.07
5225000,-80.58
5234000,-81.14
5243000,-82.55
5252000,-82.8
5261000,-82.8
5270000,-82.63
5279000,-82.39
5288000,-83.67
5297000,-82.89
5306000,-83.31
5315000,-82.8
5324000,-83.22
5333000,-83.49
5342000,-79.95
5351000,-80.44
5360000,-83.49
5369000,-82.4
5378000,-82.98
5387000,-83.67
5396000,-82.48
5405000,-82.32
5414000,-83.49
5423000,-81.79
5432000,-82.72
5441000,-83.59
5450000,-81.87
5459000,-81.37
5468000,-81.65
5477000,-83.67
5486000,-81.87
5495000,-81.94
5504000,-82.56
5513000,-83.4
5522000,-82.4
5531000,-82.56
5540000,-82.72
5549000,-82.48
5558000,-82.89
5567000,-82.98
5576000,-83.76
5585000,-82.32
5594000,-84.14
5603000,-81.79
5612000,-81.65
5621000,-82.56
5630000,-82.89
5639000,-83.76
5648000,-83.14
5657000,-85.15
5666000,-84.04
5675000,-82.32
5684000,-84.43
5693000,-82.17
5702000,-83.94
5711000,-82.48
5720000,-82.09
5729000,-83.23
5738000,-83.58
5747000,-83.31
5756000,-83.14
5765000,-82.64
5774000,-83.23
5783000,-83.86
5792000,-84.04
5801000,-84.43
5810000,-82.09
5819000,-83.58
5828000,-81.16
5837000,-81.87
5846000,-83.05
5855000,-79.57
5864000,-82.56
5873000,-83.05
5882000,-83.4
5891000,-83.14
5900000,-83.23
5909000,-83.05
5918000,-82.72
5927000,-83.58
5936000,-84.33
5945000,-83.58
5954000,-81.05
5963000,-83.95
5972000,-83.39
5981000,-84.43
5990000,-83.21
5999000,-82.62
6008000,-84.14
6017000,-83.3
6026000,-82.47
6035000,-83.49
6044000,-83.49
6053000,-83.14
6062000,-82.96
6071000,-82.62
6080000,-83.58
6089000,-84.43
6098000,-84.04
6107000,-83.66
6116000,-84.24
6125000,-84.04
6134000,-82.79
6143000,-82.46
6152000,-83.85
6161000,-84.24
6170000,-84.63
6179000,-82.54
6188000,-81.63
6197000,-82.3
6206000,-83.95
6215000,-82
6224000,-83.3
6233000,-83.57
6242000,-84.14
6251000,-82.3
6260000,-83.21
6269000,-81.27
6278000,-83.94
6287000,-83.21
6296000,-82.62
6305000,-82.71
6314000,-82.3
6323000,-82.62
6332000,-83.94
6341000,-83.3
6350000,-82.96
6359000,-83.49
6368000,-82.38
6377000,-81.62
6386000,-84.14
6395000,-83.49
6404000,-84.53
6413000,-84.63
6422000,-83.85
6431000,-82.79
6440000,-82.14
6449000,-83.48
6458000,-83.48
6467000,-83.48
6476000,-82.38
6485000,-84.04
6494000,-80.69
6503000,-81.41
6512000,-82.95
6521000,-83.04
6530000,-81.99
6539000,-84.63
6548000,-84.63
6557000,-82.95
6566000,-84.53
6575000,-80.95
6584000,-83.48
6593000,-82.71
6602000,-84.53
6611000,-82.38
6620000,-83.48
6629000,-84.53
6638000,-81.77
6647000,-81.92
6656000,-81.77
6665000,-84.74
6674000,-83.84
6683000,-84.74
6692000,-81.77
6701000,-82.62
6710000,-82.38
6719000,-83.66
6728000,-83.84
6737000,-83.48
6746000,-83.76
6755000,-82.95
6764000,-84.43
6773000,-83.48
6782000,-83.48
6791000,-83.76
6800000,-83.84
6809000,-84.13
6818000,-82.71
6827000,-83.66
6836000,-83.66
6845000,-83.66
6854000,-83.48
6863000,-83.66
6872000,-84.04
6881000,-82.46
6890000,-83.3
6899000,-83.84
6908000,-82.14
6917000,-84.33
6926000,-83.13
6935000,-84.23
6944000,-84.13
6953000,-82.78
6962000,-82.95
6971000,-83.04
6980000,-82.54
6989000,-82.62
6998000,-83.3
7007000,-84.53
7016000,-83.57
7025000,-83.84
7034000,-83.75
7043000,-84.84
7052000,-81.41
7061000,-83.29
7070000,-83.13
7079000,-83.94
7088000,-83.84
7097000,-83.94
7106000,-84.04
7115000,-84.03
7124000,-83.48
7133000,-83.13
7142000,-83.57
7151000,-84.42
7160000,-83.22
7169000,-84.62
7178000,-84.72
7187000,-83.39
7196000,-82.71
7205000,-81.5
7214000,-83.93
7223000,-84.32
7232000,-83.39
7241000,-84.93
7250000,-82.87
7259000,-83.75
7268000,-82.71
7277000,-82.23
7286000,-82.08
7295000,-84.13
7304000,-84.03
7313000,-84.22
7322000,-84.32
7331000,-84.62
7340000,-81.36
7349000,-83.04
7358000,-84.32
7367000,-84.72
7376000,-82.96
7385000,-83.38
7394000,-83.22
7403000,-83.22
7412000,-83.3
7421000,-84.72
7430000,-82.39
7439000,-84.12
7448000,-85.03
7457000,-83.38
7466000,-84.42
7475000,-84.72
7484000,-82.87
7493000,-84.72
7502000,-84.72
7511000,-83.93
7520000,-82.96
7529000,-82.55
7538000,-83.22
7547000,-83.04
7556000,-83.22
7565000,-82.39
7574000,-84.41
7583000,-83.38
7592000,-82.79
7601000,-84.12
7610000,-83.13
7619000,-84.12
7628000,-84.12
7637000,-84.03
7646000,-84.51
7655000,-83.04
7664000,-83.84
7673000,-82.46
7682000,-82.87
7691000,-82.96
7700000,-83.66
7709000,-82.79
7718000,-84.71
7727000,-83.93
7736000,-83.26
7745000,-84.59
7754000,-83.44
7763000,-84.48
7772000,-83.71
7781000,-83.71
7790000,-83.44
7799000,-83.62
7808000,-82.67
7817000,-82.51
7826000,-81.18
7835000,-83.09
7844000,-83.99
7853000,-83.99
7862000,-83.53
7871000,-84.89
7880000,-84.79
7889000,-84.48
7898000,-84.09
7907000,-83.26
7916000,-83.09
7925000,-84.09
7934000,-83.35
7943000,-84.28
7952000,-84.48
7961000,-83.53
7970000,-84.89
7979000,-83.71
7988000,-83.44
7997000,-83.26
8006000,-83.26
8015000,-84.28
8024000,-85.32
8033000,-83.53
8042000,-83.62
8051000,-83.53
8060000,-82.27
8069000,-83.53
8078000,-83.09
8087000,-81.32
8096000,-84.38
8105000,-82.04
8114000,-82.92
8123000,-84.28
8132000,-83.81
8141000,-83.71
8150000,-82.67
8159000,-83.89
8168000,-84.28
8177000,-84.58
8186000,-82.59
8195000,-82.35
8204000,-84.28
8213000,-81.6
8222000,-84.18
8231000,-84.48
8240000,-84.68
8249000,-85.32
8258000,-84.09
8267000,-83.89
8276000,-83.71
8285000,-84.58
8294000,-83.71
8303000,-84.58
8312000,-82.04
8321000,-83.86
8330000,-83.68
8339000,-84.75
8348000,-84.25
8357000,-85.51
8366000,-84.65
8375000,-83.68
8384000,-84.96
8393000,-83.77
8402000,-84.06
8411000,-82.16
8420000,-84.35
8429000,-81.71
8438000,-83.86
8447000,-81.94
8456000,-84.86
8465000,-82.64
8474000,-82.32
8483000,-83.5
8492000,-82.8
8501000,-82.48
8510000,-83.59
8519000,-83.4
8528000,-83.4
8537000,-83.5
8546000,-83.77
8555000,-83.77
8564000,-82.97
8573000,-83.67
8582000,-84.44
8591000,-84.96
8600000,-82.97
8609000,-84.15
8618000,-83.67
8627000,-84.15
8636000,-84.05
8645000,-83.67
8654000,-82.63
8663000,-83.86
8672000,-84.55
8681000,-83.59
8690000,-84.15
8699000,-83.06
8708000,-82.72
8717000,-81.71
8726000,-83.67
8735000,-84.44
8744000,-84.64
8753000,-83.31
8762000,-84.44
8771000,-84.55
8780000,-82.97
8789000,-83.4
8798000,-84.34
8807000,-82.47
8816000,-85.17
8825000,-82.97
8834000,-83.86
8843000,-84.25
8852000,-84.34
8861000,-84.15
8870000,-82.08
8879000,-84.75
8888000,-82.89
8897000,-84.34
8906000,-83.34
8915000,-83.7
8924000,-84.99
8933000,-85.32
8942000,-84.08
8951000,-84.08
8960000,-84.28
8969000,-83.89
8978000,-84.58
8987000,-84.28
8996000,-84.47
9005000,-82.5
9014000,-85.65
9023000,-84.08
9032000,-84.67
9041000,-84.28
9050000,-84.37
9059000,-84.27
9068000,-85.1
9077000,-84.08
9086000,-85.54
9095000,-85.77
9104000,-83.89
9113000,-84.88
9122000,-84.47
9131000,-84.08
9140000,-84.27
9149000,-83.43
9158000,-83.43
9167000,-84.88
9176000,-83.89
9185000,-84.18
9194000,-82.11
