Frequency (Hz),Amplitude (dBm)
10000000,-45.45
10009000,-65.23
10018000,-80.84
10027000,-85.94
10036000,-89.81
10045000,-89.69
10054000,-91.96
10063000,-92.8
10072000,-92.63
10081000,-91.88
10090000,-90.91
10099000,-92.8
10108000,-91.88
10117000,-91.8
10126000,-91.34
10135000,-92.63
10144000,-92.38
10153000,-91.88
10162000,-92.12
10171000,-93.26
10180000,-90.45
10189000,-92.89
10198000,-90.32
10207000,-91.05
10216000,-91.96
10225000,-91.34
10234000,-91.05
10243000,-92.98
10252000,-92.98
10261000,-92.8
10270000,-89.56
10279000,-92.63
10288000,-91.19
10297000,-92.29
10306000,-92.71
10315000,-92.63
10324000,-90.7
10333000,-91.34
10342000,-92.12
10351000,-91.27
10360000,-92.54
10369000,-91.8
10378000,-91.19
10387000,-91.64
10396000,-91.64
10405000,-91.96
10414000,-90.84
10423000,-92.63
10432000,-92.12
10441000,-91.49
10450000,-91.64
10459000,-91.49
10468000,-92.8
10477000,-91.49
10486000,-92.12
10495000,-91.27
10504000,-92.98
10513000,-91.72
10522000,-92.8
10531000,-92.45
10540000,-91.12
10549000,-93.07
10558000,-92.54
10567000,-92.2
10576000,-93.34
10585000,-93.16
10594000,-91.88
10603000,-93.16
10612000,-93.63
10621000,-93.16
10630000,-90.7
10639000,-92.79
10648000,-92.28
10657000,-93.16
10666000,-91.64
10675000,-91.96
10684000,-92.54
10693000,-92.79
10702000,-92.79
10711000,-93.07
10720000,-91.8
10729000,-91.88
10738000,-92.63
10747000,-93.63
10756000,-92.45
10765000,-92.45
10774000,-93.16
10783000,-92.88
10792000,-92.28
10801000,-91.64
10810000,-92.54
10819000,-91.8
10828000,-91.57
10837000,-91.57
10846000,-93.53
10855000,-91.64
10864000,-92.7
10873000,-92.98
10882000,-91.34
10891000,-91.19
10900000,-91.57
10909000,-92.79
10918000,-93.07
10927000,-92.45
10936000,-92.37
10945000,-91.72
10954000,-92.79
10963000,-93.34
10972000,-91.34
10981000,-92.37
10990000,-90.62
10999000,-92.54
11008000,-91.72
11017000,-91.95
11026000,-93.15
11035000,-91.72
11044000,-91.57
11053000,-93.34
11062000,-92.45
11071000,-93.15
11080000,-91.64
11089000,-91.95
11098000,-91.04
11107000,-92.62
11116000,-91.72
11125000,-91.57
11134000,-92.45
11143000,-91.64
11152000,-92.2
11161000,-91.79
11170000,-92.45
11179000,-92.11
11188000,-93.15
11197000,-92.62
11206000,-92.11
11215000,-91.79
11224000,-92.98
11233000,-93.25
11242000,-92.98
11251000,-92.03
11260000,-92.53
11269000,-92.53
11278000,-91.95
11287000,-90.62
11296000,-90.9
11305000,-92.45
11314000,-90.76
11323000,-91.63
11332000,-92.11
11341000,-93.15
11350000,-92.62
11359000,-91.11
11368000,-92.62
11377000,-92.62
11386000,-91.63
11395000,-92.62
11404000,-94.33
11413000,-92.28
11422000,-92.53
11431000,-92.79
11440000,-91.56
11449000,-91.48
11458000,-93.53
11467000,-90.76
11476000,-91.18
11485000,-93.15
11494000,-91.95
11503000,-89.55
11512000,-92.7
11521000,-92.79
11530000,-93.33
11539000,-91.87
11548000,-90.69
11557000,-92.2
11566000,-92.7
11575000,-91.79
11584000,-92.79
11593000,-93.15
11602000,-93.43
11611000,-92.11
11620000,-92.62
11629000,-91.79
11638000,-92.11
11647000,-91.95
11656000,-92.97
11665000,-90.55
11674000,-92.87
11683000,-91.33
11692000,-92.2
11701000,-92.27
11710000,-93.15
11719000,-91.26
11728000,-91.33
11737000,-93.33
11746000,-92.7
11755000,-92.03
11764000,-91.33
11773000,-92.62
11782000,-92.87
11791000,-93.53
11800000,-92.19
11809000,-93.15
11818000,-92.36
11827000,-91.79
11836000,-93.15
11845000,-92.79
11854000,-92.44
11863000,-92.03
11872000,-91.56
11881000,-94.33
11890000,-91.87
11899000,-92.97
11908000,-91.63
11917000,-91.11
11926000,-92.36
11935000,-92.62
11944000,-91.48
11953000,-91.48
11962000,-92.11
11971000,-92.62
11980000,-92.53
11989000,-93.91
11998000,-92.62
12007000,-92.78
12016000,-90.9
12025000,-93.52
12034000,-92.87
12043000,-92.19
12052000,-92.03
12061000,-91.79
12070000,-92.27
12079000,-91.71
12088000,-92.53
12097000,-92.53
12106000,-93.33
12115000,-90.75
12124000,-92.62
12133000,-91.79
12142000,-92.87
12151000,-91.48
12160000,-92.53
12169000,-90.17
12178000,-92.02
12187000,-92.78
12196000,-92.36
12205000,-92.44
12214000,-91.71
12223000,-91.18
12232000,-91.94
12241000,-93.14
12250000,-92.87
12259000,-92.78
12268000,-91.63
12277000,-91.94
12286000,-91.51
12295000,-92.47
12304000,-93.56
12313000,-91.82
12322000,-92.81
12331000,-93.09
12340000,-90.93
12349000,-92.81
12358000,-92.65
12367000,-91
12376000,-93
12385000,-93.55
12394000,-91.82
12403000,-92.53
12412000,-91.19
12421000,-92.7
12430000,-92.28
12439000,-91.57
12448000,-93.42
12457000,-92.78
12466000,-90.91
12475000,-91.87
12484000,-91.71
12493000,-90.26
12502000,-90.7
12511000,-92.61
12520000,-92.7
12529000,-90.84
12538000,-91.12
12547000,-92.7
12556000,-92.45
12565000,-92.53
12574000,-92.11
12583000,-91.49
12592000,-92.19
12601000,-92.56
12610000,-92.9
12619000,-92.39
12628000,-92.64
12637000,-91.66
12646000,-93.36
12655000,-90.64
12664000,-91.97
12673000,-91.82
12682000,-91.21
12691000,-92.64
12700000,-92.13
12709000,-92.64
12718000,-93.36
12727000,-92.3
12736000,-91.36
12745000,-92.05
12754000,-92.3
12763000,-91.44
12772000,-91.59
12781000,-92.3
12790000,-92.47
12799000,-91.66
12808000,-92.72
12817000,-93.08
12826000,-89.94
12835000,-92.81
12844000,-90.78
12853000,-91.36
12862000,-91.51
12871000,-90.08
12880000,-93.17
12889000,-91.97
12898000,-91.81
12907000,-93.08
12916000,-92.64
12925000,-91.97
12934000,-92.72
12943000,-90.57
12952000,-93.17
12961000,-92.81
12970000,-91.28
12979000,-90.57
12988000,-93.45
12997000,-93.36
13006000,-91.65
13015000,-91.06
13024000,-92.99
13033000,-92.47
13042000,-93.36
13051000,-91.81
13060000,-92.46
13069000,-90.46
13078000,-92.81
13087000,-92.64
13096000,-92.9
13105000,-91.5
13114000,-91.81
13123000,-92.81
13132000,-91.65
13141000,-91.35
13150000,-91.81
13159000,-91.58
13168000,-92.22
13177000,-92.05
13186000,-92.99
13195000,-93.35
13204000,-92.64
13213000,-92.81
13222000,-91.97
13231000,-92.46
13240000,-92.99
13249000,-91.65
13258000,-91.97
13267000,-91.81
13276000,-92.9
13285000,-91.28
13294000,-93.64
13303000,-91.73
13312000,-91.2
13321000,-93.17
13330000,-92.64
13339000,-92.46
13348000,-92.29
13357000,-92.13
13366000,-92.29
13375000,-92.29
13384000,-92.46
13393000,-91.73
13402000,-93.17
13411000,-92.64
13420000,-91.81
13429000,-91.5
13438000,-93.35
13447000,-91.13
13456000,-92.29
13465000,-93.35
13474000,-93.29
13483000,-91.74
13492000,-92.06
13501000,-92.74
13510000,-90.85
13519000,-93.1
13528000,-91.58
13537000,-91.74
13546000,-91.74
13555000,-92.31
13564000,-92.15
13573000,-92.23
13582000,-92.57
13591000,-91.28
13600000,-92.06
13609000,-92.39
13618000,-92.31
13627000,-92.23
13636000,-92.15
13645000,-93.67
13654000,-91.9
13663000,-91.58
13672000,-91.58
13681000,-92.06
13690000,-91.98
13699000,-91.13
13708000,-92.39
13717000,-91.58
13726000,-92.57
13735000,-91.74
13744000,-91.98
13753000,-93.28
13762000,-92.39
13771000,-93.48
13780000,-92.39
13789000,-89.87
13798000,-90.71
13807000,-91.13
13816000,-91.06
13825000,-93.57
13834000,-92.22
13843000,-93.38
13852000,-92.31
13861000,-93.28
13870000,-91.98
13879000,-90.78
13888000,-92.22
13897000,-91.82
13906000,-92.31
13915000,-91.36
13924000,-93.01
13933000,-93.01
13942000,-92.39
13951000,-92.22
13960000,-92.73
13969000,-93.19
13978000,-93.38
13987000,-91.43
13996000,-92.48
14005000,-91.43
14014000,-94.17
14023000,-92.92
14032000,-93.86
14041000,-92.65
14050000,-91.13
14059000,-91.8
14068000,-92.63
14077000,-92.46
14086000,-93.07
14095000,-92.99
14104000,-91.05
