Frequency (Hz),Amplitude (dBm)
500000,-58.32
501000,-58.55
502000,-59.27
503000,-60.65
504000,-62.48
505000,-64.61
506000,-66.48
507000,-69.38
508000,-71.95
509000,-72.13
510000,-74.52
511000,-75.4
512000,-74.28
513000,-75.27
514000,-76.21
515000,-76.97
516000,-76.58
517000,-76.21
518000,-76.97
519000,-77.88
520000,-77.29
521000,-77.71
522000,-77.04
523000,-76.81
524000,-77.37
525000,-75.78
526000,-76
527000,-74.89
528000,-76.81
529000,-75.85
530000,-77.29
531000,-75.71
532000,-76.58
533000,-76.14
534000,-76.14
535000,-76.73
536000,-78.07
537000,-76.43
538000,-75.78
539000,-76.73
540000,-77.97
541000,-75.85
542000,-77.2
543000,-76.14
544000,-77.54
545000,-78.07
546000,-77.2
547000,-77.37
548000,-75.27
549000,-75.99
550000,-76.81
551000,-76.21
552000,-77.2
553000,-75.92
554000,-77.04
555000,-75.92
556000,-77.2
557000,-75.27
558000,-76.89
559000,-78.24
560000,-77.37
561000,-75.4
562000,-77.46
563000,-77.29
564000,-77.2
565000,-76.28
566000,-76.73
567000,-76.81
568000,-76.43
569000,-76.73
570000,-76.28
571000,-75.71
572000,-77.2
573000,-76.43
574000,-77.71
575000,-75.71
576000,-78.43
577000,-75.92
578000,-77.04
579000,-76.96
580000,-77.88
581000,-76.07
582000,-74.41
583000,-78.07
584000,-76.73
585000,-75.92
586000,-76.43
587000,-77.12
588000,-76.73
589000,-75.99
590000,-75.02
591000,-75.15
592000,-76.73
593000,-76.73
594000,-77.71
595000,-76.81
596000,-77.54
597000,-76.73
598000,-75.71
599000,-77.29
600000,-75.99
601000,-75.71
602000,-75.85
603000,-77.88
604000,-77.29
605000,-75.78
606000,-77.04
607000,-74.77
608000,-75.71
609000,-75.02
610000,-78.43
611000,-77.12
612000,-77.2
613000,-76.89
614000,-77.29
615000,-75.71
616000,-77.2
617000,-76.96
618000,-77.37
619000,-77.04
620000,-77.37
621000,-77.29
622000,-77.37
623000,-77.88
624000,-76.89
625000,-75.64
626000,-76.36
627000,-76.28
628000,-78.07
629000,-77.79
630000,-76.73
631000,-76.28
632000,-76.73
633000,-75.99
634000,-76.66
635000,-78.07
636000,-76.58
637000,-77.54
638000,-75.71
639000,-75.64
640000,-76.39
641000,-77.5
642000,-77.09
643000,-75.96
644000,-78.03
645000,-77.76
646000,-77.09
647000,-77.01
648000,-78.21
649000,-77.85
650000,-77.09
651000,-76.54
652000,-78.59
653000,-76.69
654000,-77.01
655000,-76.93
656000,-76.93
657000,-76.93
658000,-77.5
659000,-77.5
660000,-76.54
661000,-76.62
662000,-76.69
663000,-75.75
664000,-76.77
665000,-77.94
666000,-77.85
667000,-77.09
668000,-78.31
669000,-77.85
670000,-79.39
671000,-78.21
672000,-77.59
673000,-77.17
674000,-77.34
675000,-76.54
676000,-75.89
677000,-79.18
678000,-77.26
679000,-78.21
680000,-76.69
681000,-77.68
682000,-77.76
683000,-77.68
684000,-77.94
685000,-77.85
686000,-77.85
687000,-77.76
688000,-78.12
689000,-76.69
690000,-77.5
691000,-77.17
692000,-78.78
693000,-77.68
694000,-77.94
695000,-78.69
696000,-78.03
697000,-77.85
698000,-78.31
699000,-79.18
700000,-79.39
701000,-77.34
702000,-77.01
703000,-78.21
704000,-78.39
705000,-78.39
706000,-77.85
707000,-77.2
708000,-77.88
709000,-78.07
710000,-77.97
711000,-77.46
712000,-78.24
713000,-79.21
714000,-79.53
715000,-78.52
716000,-78.82
717000,-76.73
718000,-77.63
719000,-78.24
720000,-79.86
721000,-78.62
722000,-79.42
723000,-79.01
724000,-79.86
725000,-78.43
726000,-79.86
727000,-78.62
728000,-79.21
729000,-78.82
730000,-78.52
731000,-79.21
732000,-78.52
733000,-79.64
734000,-79.12
735000,-79.21
736000,-78.62
737000,-80.43
738000,-77.62
739000,-78.62
740000,-79.12
741000,-78.24
742000,-80.08
743000,-79.01
744000,-78.82
745000,-77.37
746000,-80.08
747000,-79.64
748000,-78.82
749000,-76.58
750000,-79.32
751000,-79.42
752000,-78.62
753000,-78.82
754000,-78.72
755000,-77.97
756000,-79.96
757000,-78.52
758000,-79.96
759000,-78.82
760000,-79.42
761000,-79.74
762000,-81.43
763000,-79.12
764000,-78.62
765000,-80.43
766000,-78.07
767000,-80.43
768000,-80.31
769000,-79.42
770000,-79.01
771000,-79.64
772000,-80.31
773000,-79.42
774000,-79.64
775000,-78.49
776000,-79.08
777000,-78.88
778000,-78.98
779000,-79.28
780000,-79.39
781000,-79.6
782000,-78.78
783000,-79.5
784000,-79.71
785000,-79.39
786000,-79.82
787000,-78.59
788000,-80.16
789000,-80.4
790000,-78.31
791000,-79.71
792000,-78.88
793000,-79.39
794000,-80.76
795000,-80.04
796000,-78.78
797000,-79.93
798000,-80.16
799000,-78.59
800000,-79.39
801000,-80.27
802000,-79.71
803000,-79.6
804000,-80.16
805000,-80.76
806000,-80.63
807000,-78.98
